postcode,suburb,state,latitude,longitude
4018,Fitzgibbon,QLD,-27.3397,153.0292
4018,Taigum,QLD,-27.3426,153.0444
4030,Wooloowin,QLD,-27.4224,153.042
4030,Lutwyche,QLD,-27.4227,153.0335
4030,Windsor,QLD,-27.4363,153.0288
4031,Gordon Park,QLD,-27.419,153.0255
4031,Kedron,QLD,-27.4029,153.0297
4032,Chermside Centre,QLD,-27.3847,153.0306
4032,Chermside South,QLD,-27.3847,153.0306
4032,Chermside West,QLD,-27.3838,153.0159
4032,Chermside,QLD,-27.3847,153.0306
4034,Carseldine,QLD,-27.3475,153.0231
4034,Boondall,QLD,-27.3532,153.0609
4034,Zillmere,QLD,-27.3559,153.0445
4034,Geebung,QLD,-27.3725,153.0471
4034,Aspley,QLD,-27.3667,153.0167
4035,Bridgeman Downs,QLD,-27.353,152.9817
4035,Albany Creek,QLD,-27.35,152.9833
4051,Gaythorne,QLD,-27.4167,152.9833
4051,Newmarket,QLD,-27.4333,153.0167
4051,Alderley,QLD,-27.4255,153.001
4051,Enoggera,QLD,-27.4283,152.9747
4051,Wilston,QLD,-27.4322,153.019
4051,Grange,QLD,-27.4225,153.0153
4053,Brookside Centre,QLD,-27.4155,152.9766
4053,Stafford Heights,QLD,-27.3935,153.0105
4053,Everton Hills,QLD,-27.3891,152.9713
4053,Everton Park,QLD,-27.4073,152.9884
4053,Stafford DC,QLD,-27.3961,152.9766
4053,Mitchelton,QLD,-27.4167,152.9667
4053,Mcdowall,QLD,-27.3827,152.9919
4053,Stafford,QLD,-27.4104,153.0111
4054,Arana Hills,QLD,-27.3981,152.958
4054,Keperra,QLD,-27.4138,152.947
4055,Ferny Hills DC,QLD,-27.3963,152.9319
4055,Upper Kedron,QLD,-27.4188,152.9178
4055,Ferny Grove,QLD,-27.4008,152.9348
4055,Ferny Hills,QLD,-27.3959,152.9374
4055,Bunya,QLD,-27.3694,152.9433
4059,Kelvin Grove Bc,QLD,-27.4507,153.007
4059,Kelvin Grove Dc,QLD,-27.4507,153.007
4059,Kelvin Grove,QLD,-27.4482,153.0134
4059,Red Hill,QLD,-27.4525,153.0021
4060,Ashgrove East,QLD,-27.4455,152.992
4060,Dorrington,QLD,-27.4425,152.9864
4060,Ashgrove,QLD,-27.4455,152.992
4061,The Gap,QLD,-27.4419,152.9386
4064,Paddington,QLD,-27.4594,152.9951
4064,Milton BC,QLD,-27.4649,152.9991
4064,Milton,QLD,-27.4704,153.0031
4065,Bardon,QLD,-27.461,152.9792
4066,Mount Coot-Tha,QLD,-27.4868,152.9592
4066,Auchenflower,QLD,-27.4765,152.9966
4066,Toowong BC,QLD,-27.48,152.993
4066,Toowong DC,QLD,-27.48,152.993
4066,Toowong,QLD,-27.4833,152.9833
4067,St Lucia South,QLD,-27.4868,152.9592
4067,St Lucia,QLD,-27.4982,153.0004
4068,Indooroopilly Centre,QLD,-27.5023,152.9763
4068,Indooroopilly,QLD,-27.503,152.9752
4068,Chelmer,QLD,-27.5133,152.9752
4068,Taringa,QLD,-27.4906,152.9786
4069,Fig Tree Pocket,QLD,-27.5278,152.9619
4069,Pinjarra Hills,QLD,-27.5383,152.9074
4069,Kenmore Hills,QLD,-27.5042,152.9318
4069,Kenmore East,QLD,-27.5072,152.9208
4069,Chapel Hill,QLD,-27.5026,152.9501
4069,Brookfield,QLD,-27.5,152.9
4069,Kenmore DC,QLD,-27.5072,152.9208
4069,Kenmore,QLD,-27.5076,152.9388
4072,University Of Queensland,QLD,-27.4978,153.0135
4073,Seventeen Mile Rocks,QLD,-27.5507,152.959
4073,Sinnamon Park,QLD,-27.5444,152.9489
4074,Jamboree Heights,QLD,-27.5563,152.934
4074,Sumner Park Bc,QLD,-27.5608,152.9429
4074,Mount Ommaney,QLD,-27.5354,152.9382
4074,Middle Park,QLD,-27.556,152.9222
4074,Jindalee,QLD,-27.5345,152.9384
4074,Westlake,QLD,-27.5486,152.9128
4074,Sumner,QLD,-27.5655,152.9334
4075,Graceville East,QLD,-27.5473,152.9791
4075,Graceville,QLD,-27.522,152.9822
4075,Sherwood,QLD,-27.5247,152.9807
4075,Corinda,QLD,-27.5333,152.9833
4075,Oxley,QLD,-27.55,152.9833
4076,Darra,QLD,-27.5667,152.9667
4077,Durack,QLD,-27.5895,152.9858
4101,South Brisbane BC,QLD,-27.4839,153.015
4101,South Brisbane,QLD,-27.4803,153.0205
4101,Highgate Hill,QLD,-27.4891,153.0188
4101,West End,QLD,-27.4833,153
4102,Woolloongabba,QLD,-27.4886,153.0365
4102,Dutton Park,QLD,-27.4966,153.028
4102,Buranda,QLD,-27.5202,153.0278
4103,Fairfield Gardens,QLD,-27.5094,153.0286
4103,Fairfield,QLD,-27.5064,153.0248
4103,Annerley,QLD,-27.5123,153.0325
4104,Yeronga,QLD,-27.5157,153.0164
4105,Yeerongpilly,QLD,-27.5215,153.0123
4105,Moorooka,QLD,-27.5344,153.0246
4105,Tennyson,QLD,-27.5333,153.0167
4106,Brisbane Market,QLD,-27.547,153.0022
4106,Rocklea Dc,QLD,-27.547,153.0022
4106,Rocklea,QLD,-27.5392,153.004
4107,Salisbury East,QLD,-27.5514,153.0325
4107,Salisbury,QLD,-27.5514,153.0325
4108,Archerfield BC,QLD,-27.5202,153.0278
4108,Coopers Plains,QLD,-27.5646,153.0407
4108,Archerfield,QLD,-27.5671,153.0145
4109,Sunnybank South,QLD,-27.5741,153.0583
4109,Macgregor,QLD,-27.5649,153.0665
4109,Robertson,QLD,-27.5658,153.0574
4109,Sunnybank,QLD,-27.5833,153.05
4110,Acacia Ridge,QLD,-27.5833,153.0333
4110,Willawong,QLD,-27.5972,153.0074
4111,Nathan,QLD,-27.5589,153.0623
4113,Eight Mile Plains,QLD,-27.5833,153.1
4120,Stones Corner,QLD,-27.5071,153.0477
4120,Greenslopes,QLD,-27.5082,153.0495
4121,Holland Park East,QLD,-27.5298,153.0511
4121,Holland Park West,QLD,-27.5262,153.0605
4121,Holland Park,QLD,-27.5262,153.0605
4121,Wellers Hill,QLD,-27.5333,153.05
4121,Tarragindi,QLD,-27.5333,153.0333
4122,Upper Mount Gravatt BC,QLD,-27.5439,153.0922
4122,Upper Mount Gravatt,QLD,-27.5613,153.0845
4122,Mount Gravatt East,QLD,-27.5405,153.0822
4122,Mount Gravatt,QLD,-27.5333,153.0833
4122,Mansfield BC,QLD,-27.5439,153.0922
4122,Mansfield DC,QLD,-27.5439,153.0922
4122,Mansfield,QLD,-27.5393,153.099
4122,Wishart,QLD,-27.5545,153.1011
4151,Coorparoo DC,QLD,-27.4932,153.0583
4151,Coorparoo,QLD,-27.4932,153.0583
4152,Carina Heights,QLD,-27.5072,153.0913
4152,Camp Hill,QLD,-27.4935,153.0763
4152,Carindale,QLD,-27.5058,153.1024
4152,Carina,QLD,-27.5072,153.0913
4153,Belmont,QLD,-27.5,153.1167
4154,Wakerley,QLD,-27.483,153.1559
4154,Gumdale,QLD,-27.4919,153.1532
4155,Chandler,QLD,-27.514,153.1491
4156,Mackenzie,QLD,-27.5435,153.1206
4169,Kangaroo Point,QLD,-27.4768,153.0367
4169,East Brisbane,QLD,-27.481,153.044
4170,Cannon Hill,QLD,-27.4724,153.0947
4170,Morningside,QLD,-27.4673,153.0732
4170,Norman Park,QLD,-27.4792,153.0625
4170,Seven Hills,QLD,-27.4834,153.0747
4171,Hawthorne,QLD,-27.4633,153.0595
4171,Balmoral,QLD,-27.4595,153.0638
4171,Bulimba,QLD,-27.45,153.0667
4172,Murarrie,QLD,-27.4629,153.0981
4173,Tingalpa Bc,QLD,-27.4594,153.1211
4173,Tingalpa Dc,QLD,-27.4594,153.1211
4173,Tingalpa,QLD,-27.4736,153.127
4174,Hemmant,QLD,-27.4478,153.1317
4178,Wynnum North,QLD,-27.4191,153.1677
4178,Wynnum Plaza,QLD,-27.4333,153.1667
4178,Wynnum West,QLD,-27.4582,153.1532
4178,Lytton,QLD,-27.423,153.1511
4178,Wynnum,QLD,-27.4453,153.1581
4179,Manly West,QLD,-27.4738,153.1664
4344,Seventeen Mile,QLD,-27.5507,152.959
4359,Ascot,QLD,-27.4315,153.058
9000,Brisbane,QLD,-27.4679,153.0281
9001,Brisbane,QLD,-27.4679,153.0281
9002,Brisbane,QLD,-27.4679,153.0281
9005,Brisbane,QLD,-27.4679,153.0281
9007,Brisbane,QLD,-27.4679,153.0281
9008,Brisbane,QLD,-27.4679,153.0281
9009,Brisbane,QLD,-27.4679,153.0281
9010,Brisbane,QLD,-27.4679,153.0281
9013,Brisbane,QLD,-27.4679,153.0281
9015,Brisbane,QLD,-27.4679,153.0281
9016,Brisbane GPO Boxes,QLD,-27.4679,153.0281
9017,Brisbane GPO Boxes,QLD,-27.4679,153.0281
9018,Brisbane GPO Boxes,QLD,-27.4679,153.0281
9019,Brisbane GPO Boxes,QLD,-27.4679,153.0281
9020,Brisbane,QLD,-27.4679,153.0281
9021,Brisbane GPO Boxes,QLD,-27.4679,153.0281
9022,Brisbane GPO Boxes,QLD,-27.4679,153.0281
9023,Brisbane GPO Boxes,QLD,-27.4679,153.0281
812,Holmes,NT,-37.814,144.9633
862,Renner Springs,NT,-37.8421,145.0694
862,Tablelands,NT,-37.8421,145.0694
862,Nicholson,NT,-37.8421,145.0694
862,Pamayu,NT,-37.8421,145.0694
3000,Melbourne,VIC,-37.814,144.9633
3001,Melbourne,VIC,-37.814,144.9633
3002,East Melbourne,VIC,-37.8167,144.9879
3003,West Melbourne,VIC,-37.8101,144.95
3004,St Kilda Road Melbourne,VIC,-37.814,144.9633
3004,St Kilda Road Central,VIC,-37.814,144.9633
3004,Melbourne,VIC,-37.814,144.9633
3005,World Trade Centre,VIC,-37.8152,144.9632
3006,South Wharf,VIC,-37.8253,144.9522
3006,Southbank,VIC,-37.8228,144.9643
3008,Docklands,VIC,-37.8149,144.9505
3010,University Of Melbourne,VIC,-37.7958,144.9612
3011,Seddon West,VIC,-37.7995,144.8963
3011,Footscray,VIC,-37.8,144.9
3011,Seddon,VIC,-37.8061,144.8907
3012,West Footscray,VIC,-37.7975,144.8773
3012,Kingsville,VIC,-37.8082,144.8791
3012,Maidstone,VIC,-37.7803,144.8735
3012,Tottenham,VIC,-37.7985,144.8626
3012,Brooklyn,VIC,-37.8161,144.8415
3013,Yarraville West,VIC,-37.8249,144.8708
3013,Yarraville,VIC,-37.8167,144.9
3015,South Kingsville,VIC,-37.8302,144.8709
3015,Spotswood,VIC,-37.8298,144.8852
3015,Newport,VIC,-37.8443,144.8848
3016,Williamstown North,VIC,-37.8552,144.8826
3016,Williamstown,VIC,-37.857,144.8977
3018,Seaholme,VIC,-37.864,144.845
3018,Altona,VIC,-37.8696,144.8304
3019,Braybrook,VIC,-37.7867,144.8548
3019,Robinson,VIC,-37.7867,144.8548
3020,Sunshine North,VIC,-37.7699,144.8279
3020,Sunshine West,VIC,-37.7912,144.8164
3020,Glengala,VIC,-37.775,144.8333
3020,Sunshine,VIC,-37.7833,144.8333
3020,Albion,VIC,-37.7667,144.8333
3021,Kealba,VIC,-37.7371,144.8283
3022,Deer Park East,VIC,-37.7764,144.8016
3022,Ardeer,VIC,-37.7759,144.8014
3025,Altona North,VIC,-37.8349,144.8474
3025,Altona East,VIC,-37.8349,144.8474
3025,Altona Gate,VIC,-37.8349,144.8474
3026,Laverton North,VIC,-37.8205,144.8159
3031,Flemington,VIC,-37.7882,144.93
3031,Kensington,VIC,-37.7833,144.9333
3032,Highpoint City,VIC,-37.7747,144.8999
3032,Maribyrnong,VIC,-37.7833,144.8833
3032,Ascot Vale,VIC,-37.7833,144.9167
3032,Travancore,VIC,-37.7808,144.9354
3033,Keilor East,VIC,-37.7326,144.865
3034,Avondale Heights,VIC,-37.7616,144.8626
3039,Moonee Ponds,VIC,-37.7667,144.9167
3040,Essendon West,VIC,-37.7576,144.879
3040,Aberfeldie,VIC,-37.7596,144.8974
3040,Essendon,VIC,-37.7667,144.9167
3041,Strathmore Heights,VIC,-37.7133,144.8969
3041,Essendon Fields,VIC,-37.7245,144.8989
3041,Essendon North,VIC,-37.7422,144.9055
3041,Cross Keys,VIC,-37.7133,144.8969
3042,Niddrie North,VIC,-37.7311,144.8867
3042,Airport West,VIC,-37.7247,144.8813
3042,Keilor Park,VIC,-37.7203,144.8542
3042,Niddrie,VIC,-37.7375,144.8921
3043,Tullamarine,VIC,-37.7013,144.881
3043,Gowanbrae,VIC,-37.7082,144.8908
3044,Pascoe Vale South,VIC,-37.7397,144.9461
3044,Pascoe Vale,VIC,-37.7333,144.9333
3046,Hadfield,VIC,-37.7073,144.9416
3046,Oak Park,VIC,-37.7184,144.9195
3046,Glenroy,VIC,-37.7,144.9333
3047,Jacana,VIC,-37.6878,144.9111
3050,Royal Melbourne Hospital,VIC,-37.7981,144.9555
3051,North Melbourne,VIC,-37.8,144.9667
3051,Hotham Hill,VIC,-37.7984,144.9449
3052,Melbourne University,VIC,-37.7603,144.9502
3052,Parkville,VIC,-37.7833,144.95
3053,Carlton South,VIC,-37.8004,144.9681
3053,Carlton,VIC,-37.8,144.9667
3054,Carlton North,VIC,-37.7833,144.9667
3054,Princes Hill,VIC,-37.7818,144.9666
3055,Brunswick South,VIC,-37.7603,144.9502
3055,Brunswick West,VIC,-37.7646,144.9438
3055,Moreland West,VIC,-37.7603,144.9502
3055,Moonee Vale,VIC,-37.7603,144.9502
3056,Brunswick Lower,VIC,-37.7667,144.9667
3056,Brunswick North,VIC,-37.7667,144.9667
3056,Brunswick,VIC,-37.7667,144.9667
3057,Brunswick East,VIC,-37.7725,144.9724
3057,Sumner,VIC,-37.7603,144.9502
3058,Coburg North,VIC,-37.7287,144.9613
3058,Merlynston,VIC,-37.7603,144.9502
3058,Moreland,VIC,-37.7603,144.9502
3058,Batman,VIC,-37.75,144.9667
3058,Coburg,VIC,-37.75,144.9667
3060,Fawkner,VIC,-37.7167,144.9667
3061,Campbellfield,VIC,-37.6833,144.95
3065,Fitzroy,VIC,-37.7984,144.9783
3066,Collingwood North,VIC,-37.8,144.9833
3066,Collingwood,VIC,-37.8,144.9833
3067,Abbotsford,VIC,-37.8,145
3068,Fitzroy North,VIC,-37.7886,144.9788
3068,Clifton Hill,VIC,-37.7904,144.9975
3070,Northcote South,VIC,-37.7667,145
3070,Northcote,VIC,-37.7667,145
3071,Thornbury,VIC,-37.75,145
3072,Northland Centre,VIC,-37.7241,145.0179
3072,Preston Lower,VIC,-37.75,145.0167
3072,Preston South,VIC,-37.7241,145.0179
3072,Preston West,VIC,-37.75,145.0167
3072,Regent West,VIC,-37.7241,145.0179
3072,Gilberton,VIC,-37.75,145.0167
3072,Preston,VIC,-37.75,145.0167
3073,Keon Park,VIC,-37.7,145.0167
3073,Reservoir,VIC,-37.7167,145
3078,Alphington,VIC,-37.7804,145.0309
3078,Fairfield,VIC,-37.7798,145.0176
3079,Ivanhoe North,VIC,-37.769,145.0431
3079,Ivanhoe East,VIC,-37.7832,145.0525
3079,Ivanhoe,VIC,-37.769,145.0431
3081,Heidelberg Heights,VIC,-37.7431,145.057
3081,Heidelberg West,VIC,-37.75,145.0333
3081,Heidelberg Rgh,VIC,-37.743,145.0464
3081,Bellfield,VIC,-37.7531,145.0385
3083,La Trobe University,VIC,-37.7062,145.0474
3083,Kingsbury,VIC,-37.7141,145.0351
3084,Heidelberg,VIC,-37.75,145.0667
3084,Eaglemont,VIC,-37.7638,145.0638
3084,Viewbank,VIC,-37.7399,145.0932
3084,Banyule,VIC,-37.7464,145.0771
3084,Rosanna,VIC,-37.7396,145.0697
3085,Macleod West,VIC,-37.7228,145.0817
3085,Macleod,VIC,-37.7204,145.0698
3101,Cotham,VIC,-37.8064,145.0309
3101,Kew,VIC,-37.8064,145.0309
3102,Kew East,VIC,-37.7976,145.0538
3103,Stradbroke Park,VIC,-37.8117,145.081
3103,Balwyn East,VIC,-37.8117,145.081
3103,Deepdene,VIC,-37.8167,145.0667
3103,Balwyn,VIC,-37.8117,145.081
3104,Balwyn North,VIC,-37.7909,145.0939
3104,Greythorn,VIC,-37.7909,145.0939
3105,Bulleen,VIC,-37.7667,145.0833
3107,Templestowe Lower,VIC,-37.7667,145.1167
3108,Doncaster,VIC,-37.7883,145.1237
3121,Richmond North,VIC,-37.8271,145.0064
3121,Richmond South,VIC,-37.8271,145.0064
3121,Burnley North,VIC,-37.8271,145.0064
3121,Richmond East,VIC,-37.8271,145.0064
3121,Cremorne,VIC,-37.8333,145
3121,Richmond,VIC,-37.8182,145.0018
3121,Burnley,VIC,-37.8286,145.0077
3122,Glenferrie South,VIC,-37.8344,145.0397
3122,Hawthorn North,VIC,-37.85,145.0333
3122,Hawthorn West,VIC,-37.8344,145.0397
3122,Auburn South,VIC,-37.8333,145.05
3122,Hawthorn,VIC,-37.8199,145.0358
3123,Hawthorn East,VIC,-37.8248,145.0464
3123,Auburn,VIC,-37.8167,145.05
3124,Middle Camberwell,VIC,-37.8248,145.0705
3124,Camberwell North,VIC,-37.8248,145.0705
3124,Camberwell South,VIC,-37.8248,145.0705
3124,Camberwell West,VIC,-37.8248,145.0705
3124,Camberwell,VIC,-37.8421,145.0694
3124,Hartwell,VIC,-37.8421,145.0694
3125,Surrey Hills South,VIC,-37.8498,145.119
3125,Bennettswood,VIC,-37.8495,145.1114
3125,Burwood,VIC,-37.8505,145.0949
3126,Camberwell East,VIC,-37.8248,145.0705
3126,Canterbury,VIC,-37.8247,145.0848
3127,Surrey Hills North,VIC,-37.8128,145.1043
3127,Surrey Hills,VIC,-37.8252,145.1004
3127,Mont Albert,VIC,-37.8167,145.1
3128,Box Hill Central,VIC,-37.8256,145.1232
3128,Box Hill South,VIC,-37.8324,145.121
3128,Wattle Park,VIC,-37.829,145.1248
3128,Box Hill,VIC,-37.8189,145.1254
3128,Houston,VIC,-37.829,145.1248
3129,Mont Albert North,VIC,-37.8004,145.1083
3129,Box Hill North,VIC,-37.8027,145.1266
3129,Kerrimuir,VIC,-37.8048,145.1229
3141,South Yarra,VIC,-37.8333,144.9833
3142,Hawksburn,VIC,-37.8416,145.0177
3142,Toorak,VIC,-37.8416,145.0144
3143,Armadale North,VIC,-37.85,145.0333
3143,Armadale,VIC,-37.8554,145.0205
3144,Malvern North,VIC,-37.8512,145.0317
3144,Kooyong,VIC,-37.8399,145.0352
3144,Malvern,VIC,-37.8626,145.0281
3145,Wattletree Road Po,VIC,-37.874,145.0425
3145,Caulfield East,VIC,-37.8833,145.05
3145,Darling South,VIC,-37.874,145.0425
3145,Central Park,VIC,-37.8775,145.0624
3145,Malvern East,VIC,-37.874,145.0425
3145,Darling,VIC,-37.8775,145.0624
3146,Glen Iris,VIC,-37.8667,145.0667
3146,Tooronga,VIC,-37.8599,145.0549
3147,Ashburton,VIC,-37.8626,145.0794
3147,Ashwood,VIC,-37.8666,145.1055
3148,Chadstone Centre,VIC,-37.8855,145.1059
3148,Holmesglen,VIC,-37.8821,145.1002
3148,Chadstone,VIC,-37.8877,145.0952
3161,Caulfield Junction,VIC,-37.872,145.0216
3161,Caulfield North,VIC,-37.8739,145.0249
3162,Hopetoun Gardens,VIC,-37.8914,145.0254
3162,Caulfield South,VIC,-37.8956,145.026
3162,Caulfield,VIC,-37.8825,145.0229
3163,Booran Road Po,VIC,-37.8895,145.0581
3163,Glen Huntly,VIC,-37.8833,145.05
3163,Murrumbeena,VIC,-37.8902,145.0711
3163,Carnegie,VIC,-37.8833,145.0667
3165,Bentleigh East,VIC,-37.9193,145.053
3166,Hughesdale,VIC,-37.9,145.0833
3166,Oakleigh,VIC,-37.8981,145.0884
3181,Prahran East,VIC,-37.853,144.9929
3181,Prahran,VIC,-37.8511,144.9932
3181,Windsor,VIC,-37.8548,144.9927
3182,St Kilda South,VIC,-37.8633,144.9802
3182,St Kilda West,VIC,-37.8599,144.9711
3182,St Kilda,VIC,-37.8633,144.9802
3183,St Kilda East,VIC,-37.8659,145.0002
3183,Balaclava,VIC,-37.8692,144.9977
3184,Brighton Road,VIC,-37.8809,144.9855
3184,Elwood,VIC,-37.8821,144.9821
3185,Elsternwick,VIC,-37.8864,145.0025
3185,Gardenvale,VIC,-37.8979,145.0074
3185,Ripponlea,VIC,-37.8833,145
3186,Brighton North,VIC,-37.9069,145.0053
3186,Were Street Po,VIC,-37.9057,145.0067
3186,Brighton,VIC,-37.9056,145.0028
3186,Dendy,VIC,-37.895,145.0191
3187,Brighton East,VIC,-37.9023,145.0173
3188,Hampton North,VIC,-37.9374,145.0151
3188,Hampton East,VIC,-37.937,145.0286
3188,Hampton,VIC,-37.9372,145.0046
3189,Moorabbin East,VIC,-37.9367,145.0342
3189,Moorabbin,VIC,-37.9367,145.0342
3204,Bentleigh,VIC,-37.9181,145.0354
3204,Mckinnon,VIC,-37.9167,145.05
3204,Ormond,VIC,-37.9039,145.0415
3205,South Melbourne Dc,VIC,-37.8335,144.9571
3205,South Melbourne,VIC,-37.8333,144.9667
3206,Albert Park,VIC,-37.8333,145
3206,Middle Park,VIC,-37.8512,144.962
3207,Port Melbourne,VIC,-37.8396,144.9423
3207,Garden City,VIC,-37.836,144.9183
3381,Bellfield,VIC,-37.7531,145.0385
8001,Melbourne,VIC,-37.814,144.9633
8002,East Melbourne,VIC,-37.8167,144.9879
8003,Collins Street East,VIC,-37.8153,144.9756
8004,St Kilda Road,VIC,-37.8153,144.9756
8005,World Trade Centre,VIC,-37.8153,144.9756
8006,Abeckett Street,VIC,-37.8153,144.9756
8007,Collins Street West,VIC,-37.8153,144.9756
8008,St Kilda Road Central,VIC,-37.8153,144.9756
8009,Flinders Lane,VIC,-37.8153,144.9756
8010,Law Courts,VIC,-37.8149,144.9505
8011,Little Lonsdale Street,VIC,-37.8149,144.9505
8012,Docklands,VIC,-37.8149,144.9505
8045,Melbourne,VIC,-37.814,144.9633
8051,Melbourne,VIC,-37.814,144.9633
8060,Melbourne,VIC,-37.814,144.9633
8061,Melbourne,VIC,-37.814,144.9633
8066,Melbourne,VIC,-37.814,144.9633
8069,Melbourne,VIC,-37.814,144.9633
8070,Melbourne,VIC,-37.814,144.9633
8071,Melbourne,VIC,-37.814,144.9633
8102,Melbourne,VIC,-37.814,144.9633
8103,Melbourne,VIC,-37.814,144.9633
8107,Melbourne,VIC,-37.814,144.9633
8108,Melbourne,VIC,-37.814,144.9633
8111,Melbourne,VIC,-37.814,144.9633
8120,Melbourne,VIC,-37.814,144.9633
8205,Melbourne,VIC,-37.814,144.9633
8383,Melbourne,VIC,-37.814,144.9633
8386,Melbourne,VIC,-37.814,144.9633
8388,Melbourne,VIC,-37.814,144.9633
8390,Melbourne,VIC,-37.814,144.9633
8393,Melbourne,VIC,-37.814,144.9633
8394,Melbourne,VIC,-37.814,144.9633
8396,Melbourne,VIC,-37.814,144.9633
8399,Melbourne,VIC,-37.814,144.9633
8627,Camberwell,VIC,-37.8421,145.0694
4211,Southern Lamington,QLD,-28.0195,153.2946
4211,Highland Park,QLD,-28.0139,153.3331
4211,Pacific Pines,QLD,-27.9399,153.3144
4211,Binna Burra,QLD,-28.0195,153.2946
4211,Nerang BC,QLD,-28.0195,153.2946
4211,Nerang DC,QLD,-28.0195,153.2946
4211,Carrara,QLD,-28.0215,153.3664
4211,Gilston,QLD,-28.0333,153.3
4211,Nerang,QLD,-27.9894,153.3363
4211,Gaven,QLD,-27.9565,153.3345
4212,Helensvale,QLD,-27.9183,153.3327
4213,Mudgeeraba,QLD,-28.0833,153.3667
4213,Worongary,QLD,-28.05,153.35
4213,Tallai,QLD,-28.0641,153.3259
4214,Ashmore City,QLD,-27.9638,153.3658
4214,Arundel Bc,QLD,-27.9631,153.3656
4214,Arundel Dc,QLD,-27.9631,153.3656
4214,Molendinar,QLD,-27.9741,153.3607
4214,Parkwood,QLD,-27.9546,153.363
4214,Arundel,QLD,-27.9377,153.363
4214,Ashmore,QLD,-27.9888,153.3765
4215,Australia Fair,QLD,-27.9553,153.3991
4215,Southport Park,QLD,-27.9553,153.3991
4215,Southport BC,QLD,-27.9553,153.3991
4215,Chirn Park,QLD,-27.9553,153.3991
4215,Southport,QLD,-27.9672,153.398
4215,Labrador,QLD,-27.944,153.3982
4216,Biggera Waters,QLD,-27.9324,153.4002
4216,Paradise Point,QLD,-27.8866,153.3933
4216,Runaway Bay,QLD,-27.9139,153.3977
4216,Coombabah,QLD,-27.9107,153.3709
4216,Hollywell,QLD,-27.9008,153.3961
4217,Surfers Paradise,QLD,-28.0027,153.43
4217,Chevron Island,QLD,-27.9996,153.4093
4217,Gold Coast Mc,QLD,-28.0023,153.4153
4217,Isle Of Capri,QLD,-27.9996,153.4093
4217,Bundall BC,QLD,-28.0023,153.4153
4217,Bundall DC,QLD,-28.0023,153.4153
4217,Main Beach,QLD,-27.9788,153.4266
4217,Bundall,QLD,-28.0111,153.4048
4217,Benowa,QLD,-28.0167,153.4
4218,Broadbeach Waters,QLD,-28.035,153.425
4218,Mermaid Waters,QLD,-28.0491,153.4308
4218,Mermaid Beach,QLD,-28.0441,153.4347
4218,Q Supercentre,QLD,-28.0396,153.4217
4218,Pacific Fair,QLD,-28.0396,153.4217
4218,Nobby Beach,QLD,-28.0396,153.4217
4218,Broadbeach,QLD,-28.0278,153.4334
4219,West Burleigh,QLD,-28.1167,153.4333
4220,Burleigh Waters,QLD,-28.0998,153.4246
4220,Burleigh Heads,QLD,-28.1,153.45
4220,Burleigh Town,QLD,-28.0895,153.4341
4220,Burleigh DC,QLD,-28.0859,153.4458
4220,Miami,QLD,-28.0717,153.4416
4221,Palm Beach,QLD,-28.1169,153.4658
4221,Elanora,QLD,-28.1358,153.4493
4222,Griffith University,QLD,-28.1235,153.4442
4226,Clear Island Waters,QLD,-28.0531,153.3981
